Date,Winner,WinnerScore,Loser,LoserScore,Home,Away,WinnerHome,prev_game_date,next_game_date,prev_win,prev_game_home
2020-11-28,2,66,40,61,2,40,1,2021-01-27,2020-11-29,,
2020-11-29,263,63,2,45,2,263,0,2020-11-28,2020-12-05,1.0,2.0
2020-11-30,282,82,4,64,4,282,0,2020-11-25,2020-12-01,0.0,2.0
2020-12-01,4,86,320,74,4,320,1,2020-11-30,2020-12-02,0.0,4.0
2020-12-02,4,88,237,71,4,237,1,2020-12-01,2020-12-12,1.0,4.0
2020-12-19,314,65,7,64,7,314,0,2021-01-25,2020-12-20,1.0,4.0
2020-12-20,314,65,7,60,7,314,0,2020-12-19,2020-12-22,0.0,7.0
2021-01-16,7,83,189,75,7,189,1,2020-12-22,2021-01-17,0.0,7.0
2021-01-17,7,83,189,71,7,189,1,2021-01-16,2021-01-16,1.0,7.0
2021-01-01,303,69,10,56,10,303,0,2020-11-30,2021-01-02,1.0,7.0
2021-01-02,10,90,303,59,10,303,1,2021-01-01,2021-01-08,0.0,10.0
2021-01-08,10,66,101,63,10,101,1,2021-01-02,2021-01-09,1.0,10.0
2021-01-09,10,77,101,71,10,101,1,2021-01-08,2021-01-22,1.0,10.0
2021-01-22,10,80,102,71,10,102,1,2021-01-09,2021-01-23,1.0,10.0
2021-01-23,10,74,102,61,10,102,1,2021-01-22,2020-11-27,1.0,10.0
2021-01-15,15,74,151,72,15,151,1,2020-12-09,2021-01-16,1.0,10.0
2021-01-16,15,93,151,72,15,151,1,2021-01-15,2021-01-29,1.0,15.0
2021-01-29,15,83,323,75,15,323,1,2021-01-16,2021-01-30,1.0,15.0
2021-01-30,323,65,15,64,15,323,0,2021-01-29,2020-11-27,1.0,15.0
2020-11-26,18,67,78,66,18,78,1,2021-01-26,2020-11-27,0.0,15.0
2020-11-27,1,80,18,72,18,1,0,2020-11-26,2020-12-15,1.0,18.0
2020-12-01,321,79,19,53,19,321,0,2020-11-28,2020-12-02,0.0,18.0
2020-12-02,19,74,281,68,19,281,1,2020-12-01,2020-12-09,0.0,19.0
2020-12-29,21,93,44,56,21,44,1,2020-12-21,2020-12-30,1.0,19.0
2020-12-30,21,105,8,76,21,8,1,2020-12-29,2021-01-06,1.0,21.0
2021-01-08,146,77,22,72,22,146,0,2020-12-09,2021-01-09,1.0,21.0
2021-01-09,146,65,22,58,22,146,0,2021-01-08,2021-01-22,0.0,22.0
2021-01-22,22,67,284,62,22,284,1,2021-01-09,2021-01-23,0.0,22.0
2021-01-23,22,76,284,65,22,284,1,2021-01-22,2020-11-27,1.0,22.0
2020-12-19,285,73,25,59,25,285,0,2020-12-13,2020-12-20,1.0,22.0
2020-12-20,285,80,25,70,25,285,0,2020-12-19,2021-01-09,0.0,25.0
2021-01-09,334,76,25,60,25,334,0,2020-12-20,2021-01-10,0.0,25.0
2021-01-10,334,84,25,44,25,334,0,2021-01-09,2021-01-16,0.0,25.0
2021-01-16,316,92,25,78,25,316,0,2021-01-10,2021-01-17,0.0,25.0
2021-01-17,316,77,25,67,25,316,0,2021-01-16,2021-01-30,0.0,25.0
2021-01-30,25,65,194,44,25,194,1,2021-01-17,2021-01-31,0.0,25.0
2021-01-31,194,71,25,65,25,194,0,2021-01-30,2020-12-13,1.0,25.0
2021-01-09,56,86,28,79,28,56,0,2021-01-05,2021-01-10,0.0,25.0
2021-01-10,56,89,28,45,28,56,0,2021-01-09,2021-01-16,0.0,28.0
2021-01-16,16,79,28,59,28,16,0,2021-01-10,2021-01-17,0.0,28.0
2021-01-17,16,76,28,65,28,16,0,2021-01-16,2020-11-28,0.0,28.0
2021-01-16,30,69,84,60,30,84,1,2020-12-19,2021-01-17,0.0,28.0
2021-01-17,30,86,84,55,30,84,1,2021-01-16,2021-01-24,1.0,30.0
2021-01-24,154,69,30,56,30,154,0,2021-01-17,2021-01-25,1.0,30.0
2021-01-25,154,65,30,58,30,154,0,2021-01-24,2020-12-12,0.0,30.0
2020-12-16,32,74,338,62,32,338,1,2020-12-12,2020-12-17,0.0,30.0
2020-12-17,32,81,338,75,32,338,1,2020-12-16,2021-01-07,1.0,32.0
2021-01-07,32,93,45,68,32,45,1,2020-12-17,2021-01-08,1.0,32.0
2021-01-08,32,76,45,64,32,45,1,2021-01-07,2021-01-03,1.0,32.0
2020-11-27,34,74,302,65,34,302,1,2021-01-31,2020-11-28,1.0,32.0
2020-11-28,16,78,34,74,34,16,0,2020-11-27,2021-01-09,1.0,34.0
2021-01-15,36,83,288,74,36,288,1,2020-12-04,2021-01-16,0.0,34.0
2021-01-16,36,73,288,67,36,288,1,2021-01-15,2021-01-23,1.0,36.0
2021-01-29,36,89,72,74,36,72,1,2021-01-23,2021-01-30,1.0,36.0
2021-01-30,72,79,36,75,36,72,0,2021-01-29,2020-12-04,1.0,36.0
2021-01-15,309,86,37,51,37,309,0,2020-12-16,2021-01-16,0.0,36.0
2021-01-16,309,70,37,53,37,309,0,2021-01-15,2021-01-29,0.0,37.0
2021-01-29,37,76,40,70,37,40,1,2021-01-16,2021-01-30,0.0,37.0
2021-01-30,40,64,37,51,37,40,0,2021-01-29,2020-12-12,1.0,37.0
2021-01-08,38,62,37,49,38,37,1,2020-12-12,2021-01-09,0.0,37.0
2021-01-09,38,65,37,50,38,37,1,2021-01-08,2021-01-29,1.0,38.0
2021-01-29,39,90,38,84,38,39,0,2021-01-09,2021-01-30,1.0,38.0
2021-01-30,38,83,39,73,38,39,1,2021-01-29,2021-01-08,0.0,38.0
2021-01-08,148,82,39,80,39,148,0,2021-01-30,2021-01-09,1.0,38.0
2021-01-09,39,75,148,72,39,148,1,2021-01-08,2021-01-16,0.0,39.0
2021-01-16,40,86,39,85,39,40,0,2021-01-09,2021-01-17,1.0,39.0
2021-01-17,39,85,40,77,39,40,1,2021-01-16,2021-01-22,0.0,39.0
2021-01-22,39,83,111,67,39,111,1,2021-01-17,2021-01-23,1.0,39.0
2021-01-23,111,76,39,53,39,111,0,2021-01-22,2020-11-30,1.0,39.0
2021-01-22,311,105,40,58,40,311,0,2020-12-28,2021-01-23,0.0,39.0
2021-01-23,311,80,40,66,40,311,0,2021-01-22,2020-11-30,0.0,40.0
2021-01-14,42,48,235,46,42,235,1,2020-12-21,2021-01-15,0.0,40.0
2021-01-15,42,73,235,51,42,235,1,2021-01-14,2021-01-19,1.0,42.0
2021-01-19,241,97,42,91,42,241,0,2021-01-15,2021-01-20,1.0,42.0
2021-01-20,241,67,42,61,42,241,0,2021-01-19,2021-01-29,0.0,42.0
2021-01-29,42,59,48,58,42,48,1,2021-01-20,2021-01-30,0.0,42.0
2021-01-30,42,75,48,67,42,48,1,2021-01-29,2020-12-11,1.0,42.0
2020-12-11,43,81,159,72,43,159,1,2021-01-30,2020-12-12,1.0,42.0
2020-12-12,159,56,43,52,43,159,0,2020-12-11,2021-01-01,1.0,43.0
2021-01-01,43,70,255,58,43,255,1,2020-12-12,2021-01-02,0.0,43.0
2021-01-02,43,63,255,60,43,255,1,2021-01-01,2021-01-06,1.0,43.0
2020-12-15,279,91,45,86,45,279,0,2021-01-30,2020-12-16,1.0,43.0
2020-12-16,45,78,279,59,45,279,1,2020-12-15,2021-01-21,0.0,45.0
2021-01-21,186,67,45,57,45,186,0,2020-12-16,2021-01-22,1.0,45.0
2021-01-22,45,65,186,64,45,186,1,2021-01-21,2020-12-12,0.0,45.0
2021-01-09,47,61,74,60,47,74,1,2020-12-18,2021-01-10,1.0,45.0
2021-01-10,47,73,74,68,47,74,1,2021-01-09,2021-01-16,1.0,47.0
2021-01-16,209,67,47,62,47,209,0,2021-01-10,2021-01-17,1.0,47.0
2021-01-17,209,68,47,66,47,209,0,2021-01-16,2020-12-01,0.0,47.0
2020-12-21,108,67,48,55,48,108,0,2020-12-01,2020-12-22,0.0,47.0
2020-12-22,108,70,48,68,48,108,0,2020-12-21,2021-01-04,0.0,48.0
2021-01-04,350,85,48,69,48,350,0,2020-12-22,2021-01-05,0.0,48.0
2021-01-05,350,78,48,76,48,350,0,2021-01-04,2021-01-09,0.0,48.0
2021-01-09,241,79,48,64,48,241,0,2021-01-05,2021-01-10,0.0,48.0
2021-01-10,241,68,48,48,48,241,0,2021-01-09,2020-11-27,0.0,48.0
2021-01-01,346,67,49,63,49,346,0,2020-12-19,2021-01-02,0.0,48.0
2021-01-02,49,75,346,71,49,346,1,2021-01-01,2021-01-15,0.0,49.0
2021-01-15,306,61,49,37,49,306,0,2021-01-02,2021-01-16,1.0,49.0
2021-01-16,49,70,306,55,49,306,1,2021-01-15,2021-01-29,0.0,49.0
2021-01-29,49,63,85,55,49,85,1,2021-01-16,2021-01-30,1.0,49.0
2021-01-30,49,68,85,65,49,85,1,2021-01-29,2020-12-05,1.0,49.0
2020-12-26,54,87,357,69,54,357,1,2021-01-27,2020-12-27,1.0,49.0
2020-12-27,54,81,357,74,54,357,1,2020-12-26,2021-01-08,1.0,54.0
2021-01-08,54,58,214,44,54,214,1,2020-12-27,2021-01-09,1.0,54.0
2021-01-09,54,74,214,71,54,214,1,2021-01-08,2021-01-22,1.0,54.0
2021-01-22,54,64,174,53,54,174,1,2021-01-09,2021-01-23,1.0,54.0
2021-01-23,174,81,54,80,54,174,0,2021-01-22,2021-01-29,1.0,54.0
2021-01-29,54,74,107,68,54,107,1,2021-01-23,2021-01-30,0.0,54.0
2021-01-30,54,73,107,65,54,107,1,2021-01-29,2020-12-07,1.0,54.0
2021-01-01,55,81,102,69,55,102,1,2020-12-17,2021-01-02,1.0,54.0
2021-01-02,102,70,55,62,55,102,0,2021-01-01,2021-01-08,1.0,55.0
2021-01-08,55,78,266,65,55,266,1,2021-01-02,2021-01-09,0.0,55.0
2021-01-09,55,83,266,69,55,266,1,2021-01-08,2021-01-22,1.0,55.0
2021-01-22,55,90,303,81,55,303,1,2021-01-09,2021-01-23,1.0,55.0
2021-01-23,55,70,303,65,55,303,1,2021-01-22,2021-01-02,1.0,55.0
2021-01-02,56,101,16,57,56,16,1,2021-01-23,2021-01-03,1.0,55.0
2021-01-03,16,75,56,73,56,16,0,2021-01-02,2021-01-16,1.0,56.0
2021-01-16,56,95,114,55,56,114,1,2021-01-03,2021-01-17,0.0,56.0
2021-01-17,56,96,114,87,56,114,1,2021-01-16,2020-11-25,1.0,56.0
2021-01-04,61,86,69,78,61,69,1,2020-12-13,2021-01-05,1.0,56.0
2021-01-05,61,81,69,77,61,69,1,2021-01-04,2021-01-23,1.0,61.0
2021-01-23,61,81,200,71,61,200,1,2021-01-05,2021-01-24,1.0,61.0
2021-01-24,61,81,200,77,61,200,1,2021-01-23,2021-01-30,1.0,61.0
2021-01-02,68,70,47,67,68,47,1,2020-12-21,2021-01-03,1.0,61.0
2021-01-03,47,66,68,59,68,47,0,2021-01-02,2021-01-15,1.0,68.0
2021-01-30,68,66,83,43,68,83,1,2021-01-17,2021-01-31,0.0,68.0
2021-01-31,68,75,83,70,68,83,1,2021-01-30,2020-12-30,1.0,68.0
2021-01-16,200,87,69,76,69,200,0,2020-12-30,2021-01-17,1.0,68.0
2021-01-17,200,83,69,79,69,200,0,2021-01-16,2020-12-06,0.0,69.0
2021-01-15,224,88,70,84,70,224,0,2020-12-22,2021-01-16,0.0,69.0
2021-01-16,224,91,70,82,70,224,0,2021-01-15,2020-12-08,0.0,70.0
2020-12-19,353,93,71,70,71,353,0,2020-12-08,2020-12-20,0.0,70.0
2020-12-20,353,85,71,72,71,353,0,2020-12-19,2020-12-26,0.0,71.0
2020-12-26,218,77,71,75,71,218,0,2020-12-20,2020-12-27,0.0,71.0
2020-12-27,218,83,71,80,71,218,0,2020-12-26,2021-01-15,0.0,71.0
2021-01-15,71,86,107,61,71,107,1,2020-12-27,2021-01-16,0.0,71.0
2021-01-16,71,68,107,65,71,107,1,2021-01-15,2020-12-02,1.0,71.0
2021-01-22,106,77,72,74,72,106,0,2021-01-13,2021-01-23,1.0,71.0
2021-01-23,106,81,72,46,72,106,0,2021-01-22,2020-11-27,0.0,72.0
2021-01-03,73,73,275,55,73,275,1,2020-12-22,2021-01-04,0.0,72.0
2021-01-04,73,86,275,55,73,275,1,2021-01-03,2021-01-31,1.0,73.0
2020-12-02,74,66,240,48,74,240,1,2021-01-31,2020-12-03,1.0,73.0
2020-12-03,74,70,240,58,74,240,1,2020-12-02,2020-12-06,1.0,74.0
2021-01-16,74,82,349,58,74,349,1,2020-12-17,2021-01-17,1.0,74.0
2021-01-17,349,69,74,64,74,349,0,2021-01-16,2020-11-28,1.0,74.0
2021-01-02,84,65,213,61,84,213,1,2020-12-21,2021-01-03,0.0,74.0
2021-01-03,84,70,213,64,84,213,1,2021-01-02,2021-01-09,1.0,84.0
2021-01-09,84,57,123,48,84,123,1,2021-01-03,2021-01-10,1.0,84.0
2021-01-10,123,73,84,68,84,123,0,2021-01-09,2021-01-31,1.0,84.0
2021-01-01,85,82,223,67,85,223,1,2020-12-19,2021-01-02,0.0,84.0
2021-01-02,223,71,85,66,85,223,0,2021-01-01,2021-01-14,1.0,85.0
2021-01-22,161,79,85,66,85,161,0,2021-01-14,2021-01-23,0.0,85.0
2021-01-23,161,89,85,72,85,161,0,2021-01-22,2020-12-02,0.0,85.0
2020-12-11,127,70,86,42,86,127,0,2020-12-02,2020-12-12,0.0,85.0
2020-12-12,86,67,127,52,86,127,1,2020-12-11,2020-12-22,0.0,86.0
2021-01-01,245,70,86,62,86,245,0,2020-12-22,2021-01-02,1.0,86.0
2021-01-02,86,72,245,56,86,245,1,2021-01-01,2021-01-09,0.0,86.0
2021-01-09,265,74,86,58,86,265,0,2021-01-02,2021-01-10,1.0,86.0
2021-01-10,265,75,86,68,86,265,0,2021-01-09,2020-12-08,0.0,86.0
2020-12-08,45,94,87,87,87,45,0,2021-01-10,2020-12-09,0.0,86.0
2020-12-09,87,79,45,71,87,45,1,2020-12-08,2020-12-19,0.0,87.0
2021-01-30,87,81,32,79,87,32,1,2020-12-19,2021-01-31,1.0,87.0
2021-01-31,87,95,32,84,87,32,1,2021-01-30,2020-12-02,1.0,87.0
2021-01-22,90,66,49,53,90,49,1,2021-01-16,2021-01-23,1.0,87.0
2021-01-23,49,74,90,71,90,49,0,2021-01-22,2020-11-25,1.0,90.0
2021-01-15,22,74,91,60,91,22,0,2020-12-22,2021-01-16,0.0,90.0
2021-01-16,22,80,91,63,91,22,0,2021-01-15,2021-01-29,0.0,91.0
2021-01-29,91,64,284,63,91,284,1,2021-01-16,2021-01-30,0.0,91.0
2021-01-30,284,77,91,66,91,284,0,2021-01-29,2020-12-02,1.0,91.0
2021-01-04,42,70,96,61,96,42,0,2020-12-18,2021-01-05,0.0,91.0
2021-01-05,96,85,42,70,96,42,1,2021-01-04,2021-01-19,0.0,96.0
2021-01-19,317,79,96,75,96,317,0,2021-01-05,2021-01-20,1.0,96.0
2021-01-20,96,84,317,57,96,317,1,2021-01-19,2021-01-24,0.0,96.0
2021-01-24,96,74,48,62,96,48,1,2021-01-20,2021-01-25,1.0,96.0
2021-01-25,96,80,48,71,96,48,1,2021-01-24,2021-01-29,1.0,96.0
2021-01-29,112,59,96,55,96,112,0,2021-01-25,2021-01-30,1.0,96.0
2021-01-30,112,72,96,69,96,112,0,2021-01-29,2020-12-21,0.0,96.0
2021-01-02,76,75,98,63,98,76,0,2020-12-22,2021-01-03,0.0,96.0
2021-01-03,98,75,76,73,98,76,1,2021-01-02,2021-01-13,0.0,98.0
2021-01-01,266,88,101,59,101,266,0,2020-12-13,2021-01-02,1.0,98.0
2021-01-02,101,62,266,49,101,266,1,2021-01-01,2021-01-15,0.0,101.0
2021-01-15,101,67,303,64,101,303,1,2021-01-02,2021-01-16,1.0,101.0
2021-01-16,101,63,303,56,101,303,1,2021-01-15,2021-01-29,1.0,101.0
2021-01-29,55,79,101,62,101,55,0,2021-01-16,2021-01-30,1.0,101.0
2021-01-30,101,61,55,58,101,55,1,2021-01-29,2020-12-16,0.0,101.0
2020-12-21,104,95,216,57,104,216,1,2020-12-19,2020-12-22,1.0,101.0
2020-12-22,104,95,216,78,104,216,1,2020-12-21,2020-12-28,1.0,104.0
2020-12-28,104,88,210,58,104,210,1,2020-12-22,2020-12-29,1.0,104.0
2020-12-29,104,112,72,67,104,72,1,2020-12-28,2021-01-02,1.0,104.0
2021-01-29,106,70,196,62,106,196,1,2020-12-22,2021-01-30,1.0,104.0
2021-01-30,106,65,196,53,106,196,1,2021-01-29,2020-12-05,1.0,106.0
2020-12-19,174,68,107,65,107,174,0,2020-12-05,2020-12-20,1.0,106.0
2020-12-20,174,74,107,62,107,174,0,2020-12-19,2021-01-08,0.0,107.0
2021-01-08,107,84,218,81,107,218,1,2020-12-20,2021-01-09,0.0,107.0
2021-01-09,107,87,218,78,107,218,1,2021-01-08,2021-01-22,1.0,107.0
2021-01-22,107,77,239,59,107,239,1,2021-01-09,2021-01-23,1.0,107.0
2021-01-23,107,87,239,72,107,239,1,2021-01-22,2020-12-16,1.0,107.0
2020-12-30,108,80,96,69,108,96,1,2020-12-16,2020-12-31,1.0,107.0
2020-12-31,96,80,108,69,108,96,0,2020-12-30,2021-01-09,1.0,108.0
2021-01-09,108,73,317,71,108,317,1,2020-12-31,2021-01-10,0.0,108.0
2021-01-10,317,85,108,77,108,317,0,2021-01-09,2020-12-01,1.0,108.0
2020-12-19,109,63,157,60,109,157,1,2020-12-07,2020-12-20,0.0,108.0
2020-12-20,109,65,157,50,109,157,1,2020-12-19,2021-01-02,1.0,109.0
2021-01-02,109,76,25,56,109,25,1,2020-12-20,2021-01-03,1.0,109.0
2021-01-03,109,77,25,74,109,25,1,2021-01-02,2021-01-15,1.0,109.0
2021-01-15,38,60,111,55,111,38,0,2021-01-03,2021-01-16,1.0,109.0
2021-01-16,38,83,111,72,111,38,0,2021-01-15,2021-01-29,0.0,111.0
2021-01-29,308,53,111,51,111,308,0,2021-01-16,2021-01-30,0.0,111.0
2021-01-30,111,62,308,61,111,308,1,2021-01-29,2020-12-05,0.0,111.0
2020-12-30,112,63,322,52,112,322,1,2020-12-05,2020-12-31,1.0,111.0
2020-12-31,322,60,112,51,112,322,0,2020-12-30,2021-01-24,1.0,112.0
2021-01-24,112,81,235,57,112,235,1,2020-12-31,2021-01-25,0.0,112.0
2021-01-25,235,71,112,56,112,235,0,2021-01-24,2020-11-30,1.0,112.0
2021-01-02,113,61,349,56,113,349,1,2020-12-09,2021-01-03,0.0,112.0
2021-01-03,113,82,349,73,113,349,1,2021-01-02,2021-01-07,1.0,113.0
2021-01-23,113,71,302,58,113,302,1,2021-01-07,2021-01-24,1.0,113.0
2021-01-24,113,74,302,69,113,302,1,2021-01-23,2021-01-04,1.0,113.0
2021-01-23,144,75,114,72,114,144,0,2021-01-09,2021-01-24,1.0,113.0
2021-01-24,144,82,114,74,114,144,0,2021-01-23,2021-01-30,0.0,114.0
2021-01-30,56,74,114,63,114,56,0,2021-01-24,2021-01-31,0.0,114.0
2021-01-31,56,78,114,60,114,56,0,2021-01-30,2020-11-25,0.0,114.0
2021-01-01,54,65,118,62,118,54,0,2020-12-12,2021-01-02,0.0,114.0
2021-01-02,54,59,118,49,118,54,0,2021-01-01,2021-01-22,0.0,118.0
2021-01-22,353,95,118,65,118,353,0,2021-01-02,2021-01-23,0.0,118.0
2021-01-23,353,100,118,72,118,353,0,2021-01-22,2021-01-29,0.0,118.0
2021-01-29,118,73,174,68,118,174,1,2021-01-23,2021-01-30,0.0,118.0
2021-01-30,174,83,118,76,118,174,0,2021-01-29,2020-12-31,1.0,118.0
2021-01-17,120,57,250,56,120,250,1,2020-11-27,2021-01-18,0.0,118.0
2021-01-18,250,70,120,65,120,250,0,2021-01-17,2020-11-25,1.0,120.0
