Date,Winner,WinnerScore,Loser,LoserScore,Home,Away,WinnerHome,prev_game_date,next_game_date,prev_win,prev_game_home
2021-01-30,218,82,239,75,239,218,0,2021-01-29,2020-11-25,0.0,239.0
2021-01-08,240,84,158,79,240,158,1,2020-12-06,2021-01-09,0.0,239.0
2021-01-09,158,45,240,42,240,158,0,2021-01-08,2021-01-22,1.0,240.0
2021-01-22,198,59,240,56,240,198,0,2021-01-09,2021-01-23,0.0,240.0
2021-01-23,240,78,198,69,240,198,1,2021-01-22,2020-11-28,0.0,240.0
2020-12-14,241,67,149,66,241,149,1,2020-11-28,2020-12-15,1.0,240.0
2020-12-15,241,62,149,53,241,149,1,2020-12-14,2021-01-04,1.0,241.0
2021-01-04,241,79,108,66,241,108,1,2020-12-15,2021-01-05,1.0,241.0
2021-01-05,241,76,108,65,241,108,1,2021-01-04,2020-11-25,1.0,241.0
2020-11-25,12,94,242,88,242,12,0,2021-01-05,2020-11-26,1.0,241.0
2020-11-26,27,69,242,64,242,27,0,2020-11-25,2020-11-29,0.0,242.0
2021-01-01,243,95,326,86,243,326,1,2020-12-21,2021-01-02,0.0,242.0
2021-01-02,243,84,326,69,243,326,1,2021-01-01,2021-01-15,1.0,243.0
2021-01-15,243,69,223,59,243,223,1,2021-01-02,2021-01-16,1.0,243.0
2021-01-16,223,61,243,58,243,223,0,2021-01-15,2021-01-29,1.0,243.0
2020-12-18,127,70,245,56,245,127,0,2021-01-23,2020-12-19,0.0,243.0
2020-12-19,127,72,245,64,245,127,0,2020-12-18,2020-12-23,0.0,245.0
2021-01-15,265,78,245,69,245,265,0,2020-12-23,2021-01-16,0.0,245.0
2021-01-16,265,74,245,72,245,265,0,2021-01-15,2021-01-22,0.0,245.0
2021-01-22,245,76,159,64,245,159,1,2021-01-16,2021-01-23,0.0,245.0
2021-01-23,159,76,245,67,245,159,0,2021-01-22,2020-12-18,1.0,245.0
2021-01-22,214,81,246,76,246,214,0,2021-01-01,2021-01-23,0.0,245.0
2021-01-23,214,79,246,74,246,214,0,2021-01-22,2020-11-25,0.0,246.0
2020-12-16,139,75,251,55,251,139,0,2021-01-23,2020-12-17,0.0,246.0
2020-12-17,251,87,139,72,251,139,1,2020-12-16,2021-01-14,0.0,251.0
2021-01-21,280,76,251,58,251,280,0,2021-01-14,2021-01-22,1.0,251.0
2021-01-22,251,82,280,70,251,280,1,2021-01-21,2020-11-26,0.0,251.0
2020-11-26,17,96,252,91,252,17,0,2021-01-22,2020-11-27,1.0,251.0
2020-11-27,134,94,252,72,252,134,0,2020-11-26,2020-12-30,0.0,252.0
2020-11-25,166,73,254,56,254,166,0,2021-01-26,2020-11-26,0.0,252.0
2020-11-26,254,66,213,64,254,213,1,2020-11-25,2020-11-27,0.0,254.0
2020-11-27,254,72,270,59,254,270,1,2020-11-26,2020-12-01,1.0,254.0
2020-12-11,255,70,198,54,255,198,1,2020-12-01,2020-12-12,1.0,254.0
2020-12-12,255,53,198,49,255,198,1,2020-12-11,2021-01-29,1.0,255.0
2021-01-29,255,59,158,55,255,158,1,2020-12-12,2021-01-30,1.0,255.0
2021-01-30,255,68,158,54,255,158,1,2021-01-29,2020-11-29,1.0,255.0
2020-11-25,316,76,260,68,260,316,0,2021-01-30,2020-11-26,1.0,255.0
2020-11-26,260,79,302,68,260,302,1,2020-11-25,2020-11-27,0.0,260.0
2020-11-27,260,61,336,60,260,336,1,2020-11-26,2020-12-10,1.0,260.0
2020-11-27,262,66,307,63,262,307,1,2020-11-25,2020-11-28,1.0,260.0
2020-11-28,262,73,199,57,262,199,1,2020-11-27,2020-12-02,1.0,262.0
2021-01-03,265,78,181,77,265,181,1,2021-01-30,2021-01-04,1.0,262.0
2021-01-04,265,76,181,62,265,181,1,2021-01-03,2021-01-22,1.0,265.0
2021-01-22,255,68,265,62,265,255,0,2021-01-04,2021-01-23,1.0,265.0
2021-01-23,265,47,255,40,265,255,1,2021-01-22,2020-11-25,0.0,265.0
2021-01-15,266,73,10,64,266,10,1,2020-11-29,2021-01-16,1.0,265.0
2021-01-16,10,83,266,77,266,10,0,2021-01-15,2021-01-22,1.0,266.0
2021-01-22,101,84,266,75,266,101,0,2021-01-16,2021-01-23,0.0,266.0
2021-01-23,266,62,101,48,266,101,1,2021-01-22,2021-01-02,0.0,266.0
2021-01-02,203,97,268,86,268,203,0,2020-12-13,2021-01-03,1.0,266.0
2021-01-03,203,73,268,66,268,203,0,2021-01-02,2020-12-10,0.0,268.0
2021-01-02,269,93,70,54,269,70,1,2020-12-18,2021-01-03,0.0,268.0
2021-01-03,269,79,70,57,269,70,1,2021-01-02,2021-01-29,1.0,269.0
2021-01-29,269,91,192,59,269,192,1,2021-01-03,2021-01-30,1.0,269.0
2021-01-30,269,97,192,93,269,192,1,2021-01-29,2020-11-26,1.0,269.0
2021-01-08,270,83,345,77,270,345,1,2020-12-10,2021-01-09,1.0,269.0
2021-01-09,270,92,345,63,270,345,1,2021-01-08,2021-01-22,1.0,270.0
2021-01-22,270,92,205,73,270,205,1,2021-01-09,2021-01-23,1.0,270.0
2021-01-23,270,85,205,74,270,205,1,2021-01-22,2020-11-28,1.0,270.0
2020-12-17,275,85,205,64,275,205,1,2020-12-11,2020-12-18,1.0,270.0
2020-12-18,275,62,205,50,275,205,1,2020-12-17,2020-12-27,1.0,275.0
2020-12-27,275,63,84,57,275,84,1,2020-12-18,2020-12-28,1.0,275.0
2020-12-28,84,84,275,72,275,84,0,2020-12-27,2021-01-30,1.0,275.0
2021-01-30,213,74,275,62,275,213,0,2020-12-28,2021-01-31,0.0,275.0
2021-01-31,275,71,213,68,275,213,1,2021-01-30,2020-12-12,0.0,275.0
2021-01-01,276,74,325,66,276,325,1,2020-12-19,2021-01-02,1.0,275.0
2021-01-02,325,77,276,62,276,325,0,2021-01-01,2021-01-15,1.0,276.0
2021-01-15,276,84,173,54,276,173,1,2021-01-02,2021-01-16,0.0,276.0
2021-01-16,276,64,173,59,276,173,1,2021-01-15,2021-01-28,1.0,276.0
2020-12-08,32,101,279,82,279,32,0,2021-01-30,2020-12-09,1.0,276.0
2020-12-09,279,93,32,91,279,32,1,2020-12-08,2020-12-23,0.0,279.0
2021-01-07,279,70,186,55,279,186,1,2020-12-23,2021-01-08,1.0,279.0
2021-01-08,279,67,186,55,279,186,1,2021-01-07,2021-01-30,1.0,279.0
2021-01-14,280,89,32,82,280,32,1,2020-11-28,2021-01-15,1.0,279.0
2021-01-15,32,72,280,63,280,32,0,2021-01-14,2021-01-26,1.0,280.0
2021-01-26,87,94,280,92,280,87,0,2021-01-15,2021-01-27,0.0,280.0
2021-01-27,280,90,87,82,280,87,1,2021-01-26,2021-01-30,0.0,280.0
2021-01-30,280,62,45,59,280,45,1,2021-01-27,2021-01-31,1.0,280.0
2021-01-31,45,85,280,77,280,45,0,2021-01-30,2020-11-25,1.0,280.0
2020-11-25,281,76,255,75,281,255,1,2021-01-31,2020-11-26,0.0,280.0
2020-11-26,281,82,141,65,281,141,1,2020-11-25,2020-12-06,1.0,281.0
2020-12-01,202,67,282,63,282,202,0,2021-01-23,2020-12-02,1.0,281.0
2020-12-02,125,79,282,63,282,125,0,2020-12-01,2020-12-19,0.0,282.0
2021-01-15,284,65,145,59,284,145,1,2020-12-15,2021-01-16,0.0,282.0
2021-01-16,145,68,284,58,284,145,0,2021-01-15,2020-12-04,1.0,284.0
2020-12-27,285,73,316,58,285,316,1,2020-12-04,2020-12-28,0.0,284.0
2020-12-28,285,71,316,64,285,316,1,2020-12-27,2021-01-16,1.0,285.0
2021-01-16,194,81,285,64,285,194,0,2020-12-28,2021-01-17,1.0,285.0
2021-01-17,194,67,285,64,285,194,0,2021-01-16,2021-01-30,0.0,285.0
2021-01-30,109,59,285,57,285,109,0,2021-01-17,2021-01-31,0.0,285.0
2021-01-31,285,63,109,49,285,109,1,2021-01-30,2020-11-27,0.0,285.0
2020-11-28,287,70,305,65,287,305,1,2020-11-25,2020-11-29,1.0,285.0
2020-11-29,287,56,145,52,287,145,1,2020-11-28,2020-12-03,1.0,287.0
2021-01-08,106,75,288,72,288,106,0,2021-01-09,2021-01-09,1.0,287.0
2021-01-09,106,59,288,48,288,106,0,2021-01-08,2020-12-19,0.0,288.0
2021-01-29,150,62,298,60,298,150,0,2020-12-15,2021-01-30,0.0,288.0
2021-01-30,150,74,298,73,298,150,0,2021-01-29,2020-11-25,0.0,298.0
2021-01-18,302,72,319,69,302,319,1,2021-01-16,2021-01-19,0.0,298.0
2021-01-19,302,78,319,74,302,319,1,2021-01-18,2021-01-30,1.0,302.0
2021-01-30,349,84,302,74,302,349,0,2021-01-19,2021-01-31,1.0,302.0
2021-01-31,349,75,302,74,302,349,0,2021-01-30,2020-12-16,0.0,302.0
2021-01-29,303,71,10,62,303,10,1,2020-12-16,2021-01-30,0.0,302.0
2021-01-30,303,65,10,59,303,10,1,2021-01-29,2020-11-27,1.0,303.0
2021-01-08,306,72,276,60,306,276,1,2020-12-19,2021-01-09,1.0,303.0
2021-01-09,306,62,276,58,306,276,1,2021-01-08,2021-01-22,1.0,306.0
2021-01-22,306,78,243,68,306,243,1,2021-01-09,2021-01-23,1.0,306.0
2021-01-23,306,86,243,74,306,243,1,2021-01-22,2021-01-31,1.0,306.0
2021-01-29,311,72,307,51,307,311,0,2020-11-28,2021-01-30,1.0,306.0
2021-01-30,311,89,307,86,307,311,0,2021-01-29,2020-12-19,0.0,307.0
2020-12-27,308,75,311,56,308,311,1,2020-12-19,2020-12-28,0.0,307.0
2020-12-28,308,73,311,69,308,311,1,2020-12-27,2021-01-22,1.0,308.0
2021-01-22,308,68,37,49,308,37,1,2020-12-28,2021-01-23,1.0,308.0
2021-01-23,308,67,37,44,308,37,1,2021-01-22,2021-01-08,1.0,308.0
2021-01-08,111,88,309,83,309,111,0,2021-01-23,2021-01-09,1.0,308.0
2021-01-09,309,70,111,68,309,111,1,2021-01-08,2021-01-22,0.0,309.0
2021-01-22,38,47,309,45,309,38,0,2021-01-09,2021-01-23,1.0,309.0
2021-01-23,309,70,38,63,309,38,1,2021-01-22,2021-01-31,0.0,309.0
2021-01-22,310,89,307,69,310,307,1,2021-01-09,2021-01-23,1.0,309.0
2021-01-23,307,78,310,71,310,307,0,2021-01-22,2020-12-07,1.0,310.0
2021-01-01,311,81,39,63,311,39,1,2020-12-07,2021-01-02,0.0,310.0
2021-01-02,311,65,39,61,311,39,1,2021-01-01,2021-01-15,1.0,311.0
2021-01-15,311,69,310,52,311,310,1,2021-01-02,2021-01-16,1.0,311.0
2021-01-16,311,84,310,53,311,310,1,2021-01-15,2020-11-30,1.0,311.0
2020-12-07,314,92,98,81,314,98,1,2021-01-30,2020-12-08,1.0,311.0
2020-12-08,314,76,68,61,314,68,1,2020-12-07,2020-12-27,1.0,314.0
2020-12-27,314,74,25,67,314,25,1,2020-12-08,2020-12-28,1.0,314.0
2020-12-28,25,75,314,69,314,25,0,2020-12-27,2021-01-16,1.0,314.0
2021-01-16,109,70,314,63,314,109,0,2020-12-28,2021-01-17,0.0,314.0
2021-01-17,314,57,109,49,314,109,1,2021-01-16,2020-11-28,0.0,314.0
2021-01-08,269,66,315,64,315,269,0,2020-11-28,2021-01-09,1.0,314.0
2021-01-09,269,68,315,62,315,269,0,2021-01-08,2021-01-29,0.0,315.0
2021-01-29,206,71,315,67,315,206,0,2021-01-09,2021-01-30,0.0,315.0
2021-01-30,315,49,206,47,315,206,1,2021-01-29,2020-12-21,0.0,315.0
2020-12-21,316,73,334,65,316,334,1,2021-01-30,2020-12-22,1.0,315.0
2020-12-22,334,62,316,53,316,334,0,2020-12-21,2021-01-02,1.0,316.0
2021-01-02,189,73,316,67,316,189,0,2020-12-22,2021-01-03,0.0,316.0
2021-01-03,316,74,189,60,316,189,1,2021-01-02,2021-01-09,0.0,316.0
2021-01-09,316,71,109,62,316,109,1,2021-01-03,2021-01-10,1.0,316.0
2021-01-10,109,75,316,58,316,109,0,2021-01-09,2020-11-27,1.0,316.0
2020-11-27,319,76,317,68,317,319,0,2021-01-10,2020-11-28,0.0,316.0
2020-11-28,344,83,317,81,317,344,0,2020-11-27,2020-12-05,0.0,317.0
2020-12-12,317,80,112,67,317,112,1,2020-12-05,2020-12-13,0.0,317.0
2020-12-13,317,90,112,84,317,112,1,2020-12-12,2021-01-14,1.0,317.0
2021-01-14,317,92,48,54,317,48,1,2020-12-13,2021-01-15,1.0,317.0
2021-01-15,317,83,48,75,317,48,1,2021-01-14,2021-01-24,1.0,317.0
2021-01-24,317,76,241,68,317,241,1,2021-01-15,2021-01-25,1.0,317.0
2021-01-25,241,73,317,63,317,241,0,2021-01-24,2020-12-01,1.0,317.0
2021-01-23,319,77,68,70,319,68,1,2020-12-23,2021-01-24,0.0,317.0
2021-01-24,68,67,319,62,319,68,0,2021-01-23,2021-01-30,1.0,319.0
2021-01-30,113,82,319,73,319,113,0,2021-01-24,2021-01-31,0.0,319.0
2021-01-31,113,89,319,83,319,113,0,2021-01-30,2020-11-25,0.0,319.0
2020-12-12,350,95,322,77,322,350,0,2020-12-05,2020-12-13,0.0,319.0
2020-12-13,350,107,322,77,322,350,0,2020-12-12,2021-01-04,0.0,322.0
2021-01-04,322,71,149,69,322,149,1,2020-12-13,2021-01-05,0.0,322.0
2021-01-05,322,65,149,59,322,149,1,2021-01-04,2021-01-14,1.0,322.0
2021-01-14,108,69,322,68,322,108,0,2021-01-05,2021-01-15,1.0,322.0
2021-01-15,108,84,322,74,322,108,0,2021-01-14,2020-11-25,0.0,322.0
2021-01-15,323,91,150,86,323,150,1,2020-11-28,2021-01-16,0.0,322.0
2021-01-16,150,68,323,51,323,150,0,2021-01-15,2021-01-22,1.0,323.0
2021-01-22,147,66,323,59,323,147,0,2021-01-16,2021-01-23,0.0,323.0
2021-01-23,323,66,147,61,323,147,1,2021-01-22,2020-11-28,0.0,323.0
2021-01-15,324,82,72,49,324,72,1,2020-12-21,2021-01-16,1.0,323.0
2021-01-16,324,72,72,65,324,72,1,2021-01-15,2021-01-08,1.0,324.0
2021-01-08,325,101,243,89,325,243,1,2021-01-16,2021-01-09,1.0,324.0
2021-01-09,243,71,325,68,325,243,0,2021-01-08,2021-01-22,1.0,325.0
2021-01-22,325,82,152,74,325,152,1,2021-01-09,2021-01-23,0.0,325.0
2021-01-23,152,73,325,55,325,152,0,2021-01-22,2021-01-30,1.0,325.0
2021-01-08,208,77,326,70,326,208,0,2020-12-22,2021-01-09,0.0,325.0
2021-01-09,326,77,208,69,326,208,1,2021-01-08,2021-01-22,0.0,326.0
2021-01-22,326,70,276,64,326,276,1,2021-01-09,2021-01-23,1.0,326.0
2021-01-23,326,78,276,72,326,276,1,2021-01-22,2021-01-28,1.0,326.0
2021-01-08,329,77,36,50,329,36,1,2020-12-12,2021-01-09,1.0,326.0
2021-01-09,329,81,36,77,329,36,1,2021-01-08,2021-01-29,1.0,329.0
2021-01-29,329,73,288,60,329,288,1,2021-01-09,2021-01-30,1.0,329.0
2021-01-30,288,70,329,62,329,288,0,2021-01-29,2020-12-05,1.0,329.0
2021-01-09,180,81,332,68,332,180,0,2020-12-09,2021-01-10,0.0,329.0
2021-01-10,180,78,332,68,332,180,0,2021-01-09,2021-01-20,0.0,332.0
2020-12-27,334,92,189,78,334,189,1,2021-01-30,2020-12-28,0.0,332.0
2020-12-28,189,81,334,80,334,189,0,2020-12-27,2021-01-02,1.0,334.0
2021-01-02,7,63,334,62,334,7,0,2020-12-28,2021-01-03,0.0,334.0
2021-01-03,334,74,7,66,334,7,1,2021-01-02,2021-01-16,0.0,334.0
2021-01-16,334,65,157,30,334,157,1,2021-01-03,2021-01-17,1.0,334.0
2021-01-17,334,88,157,60,334,157,1,2021-01-16,2020-11-28,1.0,334.0
2020-12-21,338,74,251,46,338,251,1,2021-01-30,2020-12-22,1.0,334.0
2020-12-22,251,86,338,85,338,251,0,2020-12-21,2021-01-14,1.0,338.0
2021-01-14,139,77,338,66,338,139,0,2020-12-22,2021-01-15,0.0,338.0
2021-01-15,338,76,139,74,338,139,1,2021-01-14,2020-11-25,0.0,338.0
2020-11-25,343,79,270,71,343,270,1,2021-01-21,2020-11-26,1.0,338.0
2020-11-26,343,78,330,66,343,330,1,2020-11-25,2020-11-27,1.0,343.0
2020-11-27,343,70,346,64,343,346,1,2020-11-26,2020-12-11,1.0,343.0
2021-01-02,206,68,345,50,345,206,0,2020-12-06,2021-01-03,1.0,343.0
2021-01-03,206,78,345,67,345,206,0,2021-01-02,2021-01-22,0.0,345.0
2021-01-22,269,65,345,60,345,269,0,2021-01-03,2021-01-23,0.0,345.0
2021-01-23,269,84,345,74,345,269,0,2021-01-22,2020-12-06,0.0,345.0
2021-01-08,346,66,152,64,346,152,1,2020-12-22,2021-01-09,0.0,345.0
2021-01-09,152,63,346,58,346,152,0,2021-01-08,2021-01-15,1.0,346.0
2020-12-12,71,67,347,57,347,71,0,2021-01-15,2020-12-13,0.0,346.0
2020-12-13,174,71,347,63,347,174,0,2020-12-12,2020-12-18,0.0,347.0
2020-12-30,350,84,42,83,350,42,1,2020-12-19,2020-12-31,0.0,347.0
2020-12-31,350,94,42,76,350,42,1,2020-12-30,2021-01-09,1.0,350.0
2021-01-09,350,75,96,65,350,96,1,2020-12-31,2021-01-10,1.0,350.0
2021-01-10,350,91,96,83,350,96,1,2021-01-09,2021-01-14,1.0,350.0
2021-01-14,350,72,149,61,350,149,1,2021-01-10,2021-01-15,1.0,350.0
2021-01-15,350,70,149,50,350,149,1,2021-01-14,2021-01-28,1.0,350.0
2021-01-28,350,84,317,80,350,317,1,2021-01-15,2021-01-29,1.0,350.0
2021-01-29,317,57,350,55,350,317,0,2021-01-28,2020-11-25,1.0,350.0
2020-12-26,353,67,107,53,353,107,1,2020-12-05,2020-12-27,0.0,350.0
2020-12-27,353,90,107,77,353,107,1,2020-12-26,2021-01-08,1.0,353.0
2021-01-08,357,74,353,72,353,357,0,2020-12-27,2021-01-09,1.0,353.0
2021-01-09,353,93,357,55,353,357,1,2021-01-08,2021-01-15,0.0,353.0
2021-01-15,54,66,353,64,353,54,0,2021-01-09,2021-01-16,1.0,353.0
2021-01-16,353,85,54,49,353,54,1,2021-01-15,2021-01-29,0.0,353.0
2021-01-29,353,79,246,70,353,246,1,2021-01-16,2021-01-30,1.0,353.0
2021-01-30,353,86,246,56,353,246,1,2021-01-29,2020-11-28,1.0,353.0
2020-11-25,355,101,218,49,355,218,1,2021-01-24,2020-11-26,1.0,353.0
2020-11-26,355,51,30,50,355,30,1,2020-11-25,2020-11-27,1.0,355.0
2020-11-27,355,76,301,73,355,301,1,2020-11-26,2020-11-30,1.0,355.0
2021-01-01,357,84,107,77,357,107,1,2021-01-10,2021-01-02,1.0,355.0
2021-01-02,107,79,357,69,357,107,0,2021-01-01,2021-01-22,1.0,357.0
2021-01-22,122,67,357,66,357,122,0,2021-01-02,2021-01-23,0.0,357.0
2021-01-23,357,85,122,77,357,122,1,2021-01-22,2021-01-29,0.0,357.0
2021-01-29,71,78,357,75,357,71,0,2021-01-23,2021-01-30,1.0,357.0
2021-01-30,71,77,357,72,357,71,0,2021-01-29,,0.0,357.0
